v293r5_design_ship -- shipping candidates x every world x every test

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                              v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  cfg                              v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R4-flown                         6 | 0.026 0.031 0.032 0.028    | 0.81 +0.13 0.368  |   0.96  | 0.040    9.7  1 0.068          | 0.53 0.72 +0.08  34.4 +0.93     |  2.39  2 0.247 +0.099 0.506 0.83
  R4-flown                         8 | 0.042 0.049 0.050 0.044    | 0.77 +0.18 0.368  |   0.94  | 0.045    5.7  0 0.078          | 0.54 0.75 +0.09  20.5 +0.57     |  1.62  2 0.194 +0.077 0.470 0.82
  R4-flown                        12 | 0.052 0.065 0.056 0.048    | 0.84 +0.14 0.380  |   0.04  | 0.048    3.6  0 0.091          | 0.61 1.20 +0.21   7.5 +0.65     |  0.57  1 0.379 +0.151 0.505 0.85
  R4-flown                        19 | 0.094 0.104 0.033 0.059    | 0.78 +0.27 0.385  |   0.92  | 0.049    3.6  0 0.108          | 0.67 1.46 +0.48   3.6 +0.69     |  0.41  0 0.453 +0.181 0.442 0.84
  R4-flown                        26 | 0.119 0.117 0.021 0.066    | 0.75 +0.27 0.380  |   0.42  | 0.052    3.6  0 0.116          | 0.70 1.68 -0.00   1.9 -0.00     |  0.30  0 0.371 +0.148 0.408 0.85
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6    6 | 0.019 0.020 0.006 0.012    | 0.80 +0.09 0.362  |   1.13  | 0.032   10.8  1 0.061          | 0.51 0.68 +0.13  36.5 +1.52     |  2.61  2 0.116 +0.046 0.504 0.61
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6    8 | 0.031 0.032 0.006 0.019    | 0.76 +0.15 0.362  |   1.43  | 0.033    6.9  1 0.069          | 0.52 0.68 +0.16  22.2 +1.08     |  1.76  2 0.124 +0.049 0.450 0.28
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6   12 | 0.042 0.043 0.015 0.025    | 0.84 +0.07 0.369  |   0.16  | 0.040    3.6  0 0.080          | 0.58 0.85 +0.24   8.3 +0.76     |  0.63  1 0.136 +0.054 0.538 0.05
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6   19 | 0.082 0.073 0.014 0.045    | 0.79 +0.13 0.371  |   0.26  | 0.044    3.6  0 0.099          | 0.64 0.99 +0.44   3.6 +0.63     |  0.42  0 0.203 +0.081 0.461 0.08
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6   26 | 0.109 0.075 0.026 0.050    | 0.76 +0.16 0.369  |   0.07  | 0.046    3.6  0 0.106          | 0.66 1.15 +0.56   3.6 +0.50     |  0.36  0 0.214 +0.086 0.435 0.10
  ALT-A rc.01                      6 | 0.019 0.020 0.006 0.012    | 0.81 +0.09 0.362  |   1.12  | 0.032   10.8  1 0.061          | 0.51 0.68 +0.13  36.0 +1.54     |  2.46  2 0.118 +0.047 0.504 0.61
  ALT-A rc.01                      8 | 0.031 0.032 0.006 0.019    | 0.76 +0.15 0.361  |   1.35  | 0.033    6.9  1 0.069          | 0.52 0.69 +0.16  21.7 +1.06     |  1.65  2 0.122 +0.049 0.451 0.29
  ALT-A rc.01                     12 | 0.042 0.043 0.006 0.025    | 0.84 +0.07 0.369  |   0.17  | 0.040    3.6  0 0.080          | 0.58 0.86 +0.24   8.1 +0.76     |  0.62  1 0.137 +0.055 0.538 0.05
  ALT-A rc.01                     19 | 0.082 0.073 0.014 0.045    | 0.79 +0.13 0.371  |   0.27  | 0.044    3.6  0 0.099          | 0.64 0.99 +0.44   3.6 +0.63     |  0.42  0 0.203 +0.081 0.461 0.08
  ALT-A rc.01                     26 | 0.109 0.076 0.026 0.050    | 0.76 +0.16 0.369  |   0.07  | 0.046    3.6  0 0.106          | 0.66 1.14 +0.56   3.6 +0.50     |  0.35  0 0.214 +0.086 0.435 0.10
  ALT-B Kp.85                      6 | 0.019 0.020 0.005 0.012    | 0.80 +0.09 0.362  |   1.21  | 0.032   10.8  1 0.062          | 0.51 0.68 +0.13  36.4 +1.53     |  2.57  2 0.131 +0.052 0.509 0.60
  ALT-B Kp.85                      8 | 0.031 0.032 0.007 0.019    | 0.76 +0.15 0.362  |   1.50  | 0.033    6.9  1 0.069          | 0.52 0.68 +0.17  22.1 +1.11     |  1.75  2 0.129 +0.051 0.457 0.31
