v293r5_loopshape -- linear margins of the fork loop on the V293 plant.  Plant e^{-s Td}/(a + b s + J s^2), J 1e-4,
Td 0.04 + 0.02 meas, a = hold slope at 0 deg.  Controller: fork P (lsf) + I via LAF 14, notch Q (0 = off), rate loop Kv tapered 12/v.
Columns: Ms | wc Hz | PM deg | |S| at 0.1 / 0.2 / 0.5 / 1 Hz | static stiffness (1+L0, Ki=0) | stiction residual F/stiff: deg, m/s^2

==================================================================================================================================
plant damping b = IDENT F1 per band (0.0018/0.0037/0.0041/0.0049)

  v    8 m/s  a 0.0052 torque/deg  b 0.0018  mode_hz(fork) 1.28  A 0.022 m/s^2 per deg  lsf 1.823
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  Kp3.0 Ki0 NO notch Kv1.2e-3        |  1.72  0.80  121.9 |  0.41  0.42  0.49  0.62 |   2.48 |   0.93  0.021
  Kp2.0 Ki0 notch1 Kv6e-4            |  1.33  0.26  138.7 |  0.47  0.51  0.72  0.94 |   2.18 |   1.06  0.024
  Kp2.0 Ki0.6 NO notch Kv1e-3        |  1.53  0.34  142.3 |  0.47  0.50  0.57  0.69 |   2.18 |   1.06  0.024
  Kp2.5 Ki0.6 NO notch Kv1e-3        |  1.56  0.52  131.9 |  0.44  0.46  0.54  0.68 |   2.33 |   0.99  0.022
  Kp2.0 Ki0 NO notch Kv0 (no rate loop) |  1.26  0.30  136.3 |  0.47  0.50  0.66  1.02 |   2.18 |   1.06  0.024

  v   12 m/s  a 0.0088 torque/deg  b 0.0020  mode_hz(fork) 1.67  A 0.048 m/s^2 per deg  lsf 0.694
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  R4 flown: Kp.85 Ki.6/2.5 notch1 Kv6e-4 |  1.31  0.17  102.4 |  0.50  0.68  0.84  0.96 |   1.60 |   0.85  0.041
  Kp.85 Ki0 notch1 Kv6e-4            |  1.31   nan    nan |  0.63  0.64  0.72  0.91 |   1.60 |   0.85  0.041
  Kp.85 Ki0 NO notch Kv6e-4          |  1.32   nan    nan |  0.63  0.63  0.66  0.74 |   1.60 |   0.85  0.041
  Kp1.5 Ki0 NO notch Kv6e-4          |  1.40   nan    nan |  0.54  0.55  0.59  0.71 |   1.85 |   0.73  0.035
  Kp2.0 Ki0 NO notch Kv6e-4          |  1.47  0.32  154.9 |  0.49  0.50  0.54  0.68 |   2.04 |   0.67  0.032
  Kp2.5 Ki0 NO notch Kv6e-4          |  1.55  0.77  121.2 |  0.45  0.46  0.50  0.65 |   2.23 |   0.61  0.029
  Kp3.0 Ki0 NO notch Kv6e-4          |  1.65  1.04  102.4 |  0.41  0.42  0.47  0.62 |   2.43 |   0.56  0.027
  Kp2.0 Ki0 NO notch Kv1e-3          |  1.68  0.46  151.2 |  0.49  0.50  0.52  0.61 |   2.04 |   0.67  0.032
  Kp2.5 Ki0 NO notch Kv1e-3          |  1.77  1.00  116.3 |  0.45  0.45  0.48  0.59 |   2.23 |   0.61  0.029
  Kp3.0 Ki0 NO notch Kv1.2e-3        |  2.04  1.48   92.2 |  0.41  0.42  0.45  0.54 |   2.43 |   0.56  0.027
  Kp2.0 Ki0 notch1 Kv6e-4            |  1.40  0.22  155.2 |  0.49  0.51  0.61  0.98 |   2.04 |   0.67  0.032
  Kp2.0 Ki0.6 NO notch Kv1e-3        |  1.68  0.32  151.6 |  0.49  0.51  0.53  0.62 |   2.04 |   0.67  0.032
