v293r5_design_dobb -- the observer's model b, every world.  R5 = Kp 1.2, notch Q1, Kv 6e-4 rc .03, DOB .8, Ki .3 flat unless named.

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                            v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.5
  cfg                            v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R4-flown                       6 | 0.030 0.032 0.029 0.026    | 0.70 +0.11 0.370  |   1.82  | 0.070    9.9  1 0.093          | 0.48 0.58 +0.07  48.0 +0.85     |  5.22  2 0.212 -0.049 0.419 0.68
  R4-flown                       8 | 0.048 0.049 0.044 0.040    | 0.68 +0.15 0.373  |   1.38  | 0.076    5.7  1 0.098          | 0.49 0.60 +0.01  29.0 +0.09     |  3.57  2 0.249 -0.080 0.418 0.57
  R4-flown                      12 | 0.073 0.066 0.040 0.046    | 0.66 +0.14 0.360  |   0.23  | 0.065    3.5  0 0.084          | 0.50 0.59 +0.00  16.1 +0.00     |  2.39  2 0.173 -0.039 0.411 0.49
  R4-flown                      19 | 0.127 0.085 0.012 0.060    | 0.64 +0.13 0.347  |   0.35  | 0.054    3.5  0 0.105          | 0.55 0.70 +0.08   7.7 +0.12     |  2.12  0 0.066 +0.004 0.393 0.51
  R4-flown                      26 | 0.145 0.077 0.008 0.068    | 0.63 +0.06 0.341  |   0.07  | 0.056    3.6  0 0.113          | 0.56 0.72 +0.10   4.9 +0.09     |  1.88  0 0.114 +0.003 0.405 0.35
  R5 dobb ident                  6 | 0.024 0.014 0.000 0.011    | 0.72 +0.02 0.350  |   1.03  | 0.037   13.1  1 0.060          | 0.47 0.57 +0.08  50.3 +0.95     |  8.19  2 0.124 +0.035 0.483 0.54
  R5 dobb ident                  8 | 0.040 0.016 0.001 0.017    | 0.69 +0.05 0.347  |   0.51  | 0.037    8.7  1 0.067          | 0.48 0.57 +0.09  32.0 +0.57     |  4.70  2 0.071 +0.028 0.451 0.55
  R5 dobb ident                 12 | 0.055 0.018 0.008 0.023    | 0.72 +0.04 0.348  |   0.84  | 0.043    5.1  1 0.075          | 0.48 0.56 +0.03  17.8 +0.09     |  6.17  3 0.239 +0.041 0.503 0.64
  R5 dobb ident                 19 | 0.090 0.012 0.013 0.038    | 0.71 +0.06 0.343  |   0.18  | 0.039    3.4  0 0.092          | 0.52 0.59 +0.09   9.3 +0.12     |  4.25  0 0.143 +0.049 0.459 0.61
  R5 dobb ident                 26 | 0.063 0.014 0.009 0.045    | 1.13 +0.04 0.339  |   0.10  | 0.037    3.3  0 0.097          | 0.53 0.59 +0.21   6.3 +0.19     |  3.01  0 0.124 +0.036 0.443 0.56
