v293r5_design_lowspeed -- shortlist at 6 / 8 / 12 m/s, and the SMALL-STEP stiction test T7 at 8 / 12 / 19 / 26 m/s (F x1.5)

============================================================================================================================================
WORLD ident (b F1, J 1e-4) | NEED x1.0 | low speed
  cfg                              v | T1 dist |e| .5 1 2 s, rms      | T2 rise ov rms         | T3 pkpk | T5 stiction: rms e, pk rate, dwells, max|e|
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    12 |  0.040  0.010  0.007  0.018    |  0.75  +0.03  0.338    |   0.41  |  0.039     5.6   1  0.066
  Kp1.5 notch DOB.8 Ki.3 max.15    6 |  0.025  0.013  0.000  0.011    |  0.71  +0.02  0.350    |   0.39  |  0.037    13.1   1  0.060
  Kp1.5 notch DOB.8 Ki.3 max.15    8 |  0.038  0.015  0.000  0.017    |  0.69  +0.06  0.346    |   0.65  |  0.036     8.9   1  0.067
  Kp1.5 notch DOB.8 Ki.3 max.15   12 |  0.054  0.016  0.008  0.022    |  0.71  +0.03  0.346    |   0.65  |  0.042     5.2   1  0.074
  Kp1.5 notch DOB.5 Ki.3           6 |  0.027  0.022  0.004  0.013    |  0.70  +0.05  0.353    |   1.25  |  0.041    11.8   1  0.061
  Kp1.5 notch DOB.5 Ki.3           8 |  0.043  0.032  0.005  0.021    |  0.68  +0.10  0.350    |   0.31  |  0.040     7.7   1  0.069
  Kp1.5 notch DOB.5 Ki.3          12 |  0.061  0.036  0.007  0.028    |  0.67  +0.05  0.349    |   0.40  |  0.046     4.5   0  0.077

  T7 small step 0.15 m/s^2, F x1.5:  cfg                              v |    t50    t90     ov |  pk r/s |  windup past deg | tail e
  R4-flown                         8 |   0.49   0.60  +0.01 |    29.0 | +0.0301   +0.09 |  0.014
  R4-flown                        12 |   0.50   0.59  +0.00 |    16.1 | +0.0270   +0.00 |  0.006
  R4-flown                        19 |   0.55   0.70  +0.08 |     7.7 | +0.0272   +0.12 |  0.001
  R4-flown                        26 |   0.56   0.72  +0.10 |     4.9 | +0.0256   +0.09 |  0.001
  R4+DOB.8 Ki.3flat                8 |   0.48   0.57  +0.07 |    31.7 | +0.0309   +0.50 |  0.003
  R4+DOB.8 Ki.3flat               12 |   0.49   0.57  +0.07 |    17.5 | +0.0281   +0.21 |  0.005
  R4+DOB.8 Ki.3flat               19 |   0.54   0.62  +0.06 |     8.5 | +0.0281   +0.08 |  0.004
  R4+DOB.8 Ki.3flat               26 |   0.55   0.64  +0.16 |     5.6 | +0.0265   +0.14 |  0.004
  Kp1.2 notch DOB.8 Ki.3           8 |   0.48   0.57  +0.09 |    32.0 | +0.0315   +0.57 |  0.004
  Kp1.2 notch DOB.8 Ki.3          12 |   0.48   0.56  +0.03 |    17.8 | +0.0272   +0.09 |  0.003
  Kp1.2 notch DOB.8 Ki.3          19 |   0.52   0.59  +0.09 |     9.3 | +0.0284   +0.12 |  0.003
  Kp1.2 notch DOB.8 Ki.3          26 |   0.53   0.59  +0.21 |     6.3 | +0.0265   +0.19 |  0.003
  Kp1.5 notch DOB.8 Ki.3           8 |   0.48   0.57  +0.09 |    32.3 | +0.0321   +0.63 |  0.003
  Kp1.5 notch DOB.8 Ki.3          12 |   0.48   0.55  +0.05 |    18.2 | +0.0279   +0.16 |  0.003
