cell,metric,note,pair,target_est,ref_est,n_target,routes_target,n_ref,routes_ref,diff,ci_lo,ci_hi,mde80,effect_over_mde,excludes0,ref_ok
R10_5-8,mode_rms_1.8-3Hz,4,T5-V282_LOO,3.0427,0.7769,10,1,12,2,2.2657,0.6819,4.1361,2.3253,0.9744,True,False
R10_5-8,mode_rms_1.8-3Hz,4,T4-V282,4.4598,0.7632,30,1,33,3,3.6966,1.761,4.7084,2.3748,1.5566,True,False
R10_5-8,mode_rms_1.8-3Hz,4,T4-V282old,4.4598,0.6756,30,1,50,3,3.7843,1.9266,4.8218,2.3562,1.6061,True,True
R10_5-8,mode_rms_1.8-3Hz,4,T4-V282pool,4.4598,0.6966,30,1,83,6,3.7632,1.8328,4.778,2.3743,1.585,True,True
R10_5-8,mode_rms_1.8-3Hz,4,T4-V282_LOO,4.4598,0.7769,30,1,12,2,3.6829,1.6994,4.8213,2.4301,1.5155,True,False
R10_5-8,mode_rms_1.8-3Hz,4,V282old-V282,0.6756,0.7632,50,3,33,3,-0.0877,-0.4489,0.2108,0.4744,0.1848,False,False
R10_5-8,hf_rms_2-10Hz,4,T64-V282,4.8968,2.0853,18,2,33,3,2.8115,1.0344,5.0379,2.8948,0.9712,True,False
R10_5-8,hf_rms_2-10Hz,4,T64-V282old,4.8968,1.5903,18,2,50,3,3.3065,1.2941,5.4656,2.9342,1.1269,True,True
R10_5-8,hf_rms_2-10Hz,4,T64-V282pool,4.8968,1.8366,18,2,83,6,3.0601,1.2147,5.3362,2.8786,1.0631,True,True
R10_5-8,hf_rms_2-10Hz,4,T64-V282_LOO,4.8968,2.1979,18,2,12,2,2.6989,0.874,4.9296,2.9057,0.9288,True,False
R10_5-8,hf_rms_2-10Hz,4,T64B-V282,3.9679,2.0853,24,1,33,3,1.8826,0.9393,2.6396,1.0735,1.7536,True,False
