========================================================================================================================================================
SERIES DECOMPOSITION, per route.  H_fork = model -> controller setpoint;  H_dwn = setpoint -> achieved;
  H_tot = model -> achieved.  lag in s.  'refFF pred' = the fork's own AccordRefFilter PHASE delay
  2*atan(w*RC)/w at the band centre (two cascaded first-order lags of RC each, latcontrol_torque.py:319-326).
  PHASE delay, not group delay, because lag_eq below is -phase/(2*pi*f) -- ALGEBRA on the filter alone,
  printed next to the MEASURED lag_fork.  Nothing here is chained into a closed-loop prediction.
========================================================================================================================================================

00000064--ce6b0b0ebb  V282      V282  refFilt ABSENT LAF6.0 Kp0.9 fric0.01 Ki0.3 obs- SR16.33
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
0.25-0.50   T64_rc06       3   1.038  +0.129  0.119   1.298  +0.385   1.345  +0.515           +0.090           +0.130
0.25-0.50   V282old        2   1.139  +0.044  0.000   1.203  +0.276   1.372  +0.319           +0.004           +0.021
0.50-1.00   V282           3   1.243  +0.079  0.000   0.932  +0.202   1.154  +0.273           +0.000           +0.000
0.50-1.00   T64_rc06       3   1.045  +0.127  0.117   1.308  +0.189   1.424  +0.318           +0.048           -0.013
0.50-1.00   T5_rc12        1   1.031  +0.251  0.218   1.051  +0.115   1.121  +0.371           +0.172           -0.087
0.50-1.00   T4_rc12_obsOFF      1   0.981  +0.250  0.218   1.445  +0.098   1.438  +0.361           +0.171           -0.104
0.50-1.00   V282old        3   1.242  +0.064  0.000   1.132  +0.225   1.363  +0.287           -0.015           +0.023
1.00-2.00   V282           3   1.110  +0.160  0.000   1.383  +0.038   1.814  +0.167           +0.000           +0.000
1.00-2.00   T64_rc06       3   0.584  +0.170  0.109   3.939  -0.037   3.073  +0.112           +0.009           -0.075
1.00-2.00   T5_rc12        1   0.336  +0.112  0.180   4.044  -0.054   2.197  +0.018           -0.048           -0.091
1.00-2.00   T4_rc12_obsOFF      1   0.341  -0.002  0.180   4.410  -0.190   3.102  +0.096           -0.162           -0.228
1.00-2.00   V282old        3   1.099  +0.159  0.000   1.928  +0.020   2.632  +0.150           -0.001           -0.018
