
##### V282old minus V282  (lags in s; gap [95% CI]; pred = transfer-function shaping gap)
vb    band      terc    sec V/T |                  x->sp    pred |                sp->act |              act->pose |                x->pose |         COMMON x->pose | ctlV/T
15-22 0.05-0.15 hi     182/32   |    +0.115[+0.10,+0.12] +0.118 |    -0.331[-0.45,-0.10] |    +0.006[-0.13,+0.08] |    -0.208[-0.33,-0.00] |    -0.308[-0.43,-0.10] | 0.305/0.299
15-22 0.05-0.15 all    497/243  |    +0.115[+0.11,+0.13] +0.118 |    -0.336[-0.50,-0.20] |    +0.008[-0.06,+0.05] |    -0.212[-0.37,-0.08] |    -0.312[-0.47,-0.18] | 0.303/0.298
>22   0.05-0.15 lo     519/123  |    +0.118[+0.11,+0.13] +0.117 |    -0.267[-0.63,+0.02] |    -0.048[-0.14,+0.07] |    -0.288[-0.71,+0.08] |    -0.392[-0.81,-0.02] | 0.292/0.300
>22   0.05-0.15 mid    614/82   |    +0.121[+0.12,+0.12] +0.118 |    -0.355[-0.50,-0.22] |    -0.017[-0.12,+0.13] |    -0.245[-0.48,+0.03] |    -0.352[-0.58,-0.07] | 0.300/0.303
>22   0.05-0.15 hi     643/39   |    +0.117[+0.11,+0.12] +0.118 |    -0.196[-0.28,-0.04] |    -0.028[-0.11,+0.03] |    -0.104[-0.23,+0.11] |    -0.204[-0.33,+0.01] | 0.300/0.300
>22   0.05-0.15 all   1777/244  |    +0.117[+0.12,+0.12] +0.118 |    -0.217[-0.33,-0.08] |    -0.017[-0.09,+0.08] |    -0.113[-0.28,+0.13] |    -0.215[-0.38,+0.02] | 0.300/0.301
2-8   0.15-0.3  mid     46/23   |    +0.116[+0.09,+0.13] +0.109 |    +0.332[+0.04,+0.53] |    +0.044[-0.06,+0.12] |    +0.491[+0.10,+0.70] |    +0.391[+0.01,+0.60] | 0.293/0.297
2-8   0.15-0.3  all    242/59   |    +0.124[+0.08,+0.14] +0.109 |    -0.203[-0.28,-0.07] |    -0.006[-0.05,+0.02] |    -0.088[-0.24,+0.05] |    -0.184[-0.33,-0.05] | 0.306/0.288
8-15  0.15-0.3  lo     360/69   |    +0.111[+0.10,+0.12] +0.110 |    +0.223[+0.07,+0.40] |    +0.009[-0.03,+0.06] |    +0.349[+0.18,+0.55] |    +0.238[+0.07,+0.44] | 0.295/0.295
8-15  0.15-0.3  mid    147/151  |    +0.117[+0.11,+0.13] +0.110 |    +0.250[+0.18,+0.33] |    +0.012[-0.01,+0.04] |    +0.377[+0.30,+0.47] |    +0.274[+0.19,+0.36] | 0.293/0.301
8-15  0.15-0.3  hi      85/83   |    +0.115[+0.10,+0.13] +0.110 |    -0.029[-0.12,+0.09] |    +0.014[-0.00,+0.04] |    +0.100[+0.01,+0.23] |    -0.001[-0.09,+0.12] | 0.296/0.297
8-15  0.15-0.3  all    592/303  |    +0.115[+0.10,+0.13] +0.110 |    +0.037[-0.04,+0.16] |    +0.014[+0.00,+0.04] |    +0.162[+0.08,+0.30] |    +0.061[-0.02,+0.20] | 0.296/0.298
15-22 0.15-0.3  lo     366/153  |    +0.121[+0.11,+0.14] +0.112 |    +0.249[+0.15,+0.37] |    -0.028[-0.06,+0.01] |    +0.313[+0.21,+0.46] |    +0.201[+0.09,+0.35] | 0.301/0.312
15-22 0.15-0.3  mid    175/113  |    +0.110[+0.11,+0.11] +0.111 |    +0.236[+0.16,+0.31] |    -0.014[-0.07,+0.02] |    +0.333[+0.24,+0.41] |    +0.231[+0.14,+0.30] | 0.300/0.300
15-22 0.15-0.3  hi      95/25   |    +0.111[+0.11,+0.12] +0.110 |    +0.005[-0.09,+0.16] |    +0.005[-0.03,+0.05] |    +0.117[+0.02,+0.27] |    +0.016[-0.08,+0.17] | 0.297/0.301
15-22 0.15-0.3  all    636/291  |    +0.113[+0.11,+0.12] +0.111 |    +0.161[+0.07,+0.31] |    -0.001[-0.04,+0.02] |    +0.272[+0.16,+0.42] |    +0.169[+0.06,+0.31] | 0.298/0.303
>22   0.15-0.3  lo     924/146  |    +0.112[+0.11,+0.12] +0.111 |    +0.115[+0.05,+0.15] |    -0.078[-0.13,+0.04] |    +0.135[+0.02,+0.29] |    +0.026[-0.09,+0.17] | 0.299/0.299
>22   0.15-0.3  mid    636/83   |    +0.111[+0.11,+0.11] +0.111 |    +0.104[-0.01,+0.18] |    -0.032[-0.07,+0.04] |    +0.179[+0.03,+0.31] |    +0.077[-0.07,+0.21] | 0.300/0.300
>22   0.15-0.3  hi     317/36   |    +0.108[+0.11,+0.11] +0.110 |    +0.013[-0.05,+0.07] |    -0.025[-0.07,+0.01] |    +0.094[+0.03,+0.15] |    -0.005[-0.07,+0.05] | 0.300/0.299
>22   0.15-0.3  all   1877/264  |    +0.109[+0.11,+0.11] +0.110 |    +0.058[-0.00,+0.14] |    -0.025[-0.06,+0.02] |    +0.136[+0.06,+0.24] |    +0.036[-0.04,+0.14] | 0.300/0.299
2-8   0.3-0.6   lo     219/35   |    +0.075[-0.00,+0.10] +0.088 |    +0.178[+0.05,+0.33] |    +0.022[-0.04,+0.25] |    +0.181[+0.05,+0.39] |    +0.150[+0.01,+0.31] | 0.305/0.295
2-8   0.3-0.6   mid     80/29   |    +0.086[+0.08,+0.10] +0.087 |    +0.290[+0.10,+0.52] |    -0.015[-0.05,+0.01] |    +0.377[+0.13,+0.64] |    +0.282[+0.03,+0.54] | 0.297/0.289
2-8   0.3-0.6   hi      38/21   |    +0.125[+0.07,+0.16] +0.087 |    -0.087[-0.23,+0.06] |    +0.056[+0.02,+0.08] |    +0.118[-0.07,+0.24] |    +0.018[-0.15,+0.14] | 0.285/0.302
2-8   0.3-0.6   all    337/86   |    +0.122[+0.08,+0.15] +0.087 |    -0.072[-0.19,+0.08] |    +0.052[+0.02,+0.07] |    +0.125[+0.00,+0.25] |    +0.026[-0.08,+0.15] | 0.286/0.302
8-15  0.3-0.6   lo     326/91   |    +0.081[+0.07,+0.09] +0.088 |    +0.126[-0.07,+0.31] |    +0.016[-0.04,+0.05] |    +0.348[+0.19,+0.61] |    +0.104[-0.13,+0.32] | 0.296/0.288
8-15  0.3-0.6   mid    210/139  |    +0.084[+0.07,+0.09] +0.087 |    +0.160[+0.09,+0.24] |    -0.007[-0.04,+0.04] |    +0.248[+0.18,+0.35] |    +0.136[+0.06,+0.25] | 0.295/0.294
8-15  0.3-0.6   hi     147/107  |    +0.086[+0.07,+0.10] +0.088 |    +0.027[-0.02,+0.07] |    +0.022[+0.01,+0.04] |    +0.138[+0.09,+0.18] |    +0.040[-0.00,+0.08] | 0.295/0.297
8-15  0.3-0.6   all    684/337  |    +0.086[+0.08,+0.10] +0.088 |    +0.043[+0.01,+0.09] |    +0.018[+0.00,+0.03] |    +0.151[+0.11,+0.20] |    +0.049[+0.01,+0.10] | 0.295/0.296
15-22 0.3-0.6   lo     391/100  |    +0.082[+0.08,+0.09] +0.087 |    +0.238[+0.16,+0.33] |    -0.024[-0.13,+0.05] |    +0.201[+0.11,+0.30] |    +0.106[+0.02,+0.21] | 0.300/0.294
15-22 0.3-0.6   mid    192/121  |    +0.088[+0.08,+0.09] +0.088 |    +0.242[+0.20,+0.28] |    -0.015[-0.04,+0.01] |    +0.298[+0.26,+0.35] |    +0.196[+0.15,+0.25] | 0.299/0.302
