# EVENTS (matched high-desired-jerk, s2 matcher): median paired gap vs V282, s  [route-2-sided 95% CI]
group    speed   pairs |              shaping |        loop+plant+RT |              vehicle |         TOTAL logged |   lead |         TOTAL common
T64   8-15  0.6-1.2  all   |  +0.047[+0.03,+0.06](+0.055) |  -0.014[-0.06,+0.04] |  -0.009[-0.02,+0.00] |  +0.021[-0.05,+0.08] |  -0.080[-0.14,-0.02]
T64   15-22 0.6-1.2  lo    |  +0.042[+0.04,+0.05](+0.049) |  +0.034[-0.04,+0.08] |  +0.029[+0.00,+0.08] |  +0.059[-0.01,+0.12] |  -0.042[-0.13,+0.02]
T64   15-22 0.6-1.2  mid   |  +0.045[+0.04,+0.05](+0.049) |  +0.042[+0.01,+0.09] |  -0.004[-0.04,+0.02] |  +0.059[+0.01,+0.10] |  -0.039[-0.09,+0.01]
T64   15-22 0.6-1.2  hi    |  +0.036[+0.02,+0.05](+0.051) |  -0.010[-0.04,+0.07] |  +0.017[-0.01,+0.03] |  +0.038[+0.00,+0.13] |  -0.050[-0.08,+0.03]
T64   15-22 0.6-1.2  all   |  +0.037[+0.02,+0.05](+0.050) |  -0.003[-0.03,+0.07] |  +0.016[-0.01,+0.03] |  +0.039[+0.01,+0.12] |  -0.051[-0.08,+0.02]
T64   >22   0.6-1.2  lo    |  +0.044[+0.04,+0.05](+0.049) |  +0.081[+0.02,+0.16] |  +0.002[-0.06,+0.03] |  +0.047[-0.01,+0.14] |  -0.054[-0.12,+0.05]
T64   >22   0.6-1.2  mid   |  +0.048[+0.04,+0.05](+0.051) |  +0.043[+0.02,+0.10] |  -0.006[-0.04,+0.02] |  +0.052[+0.02,+0.12] |  -0.049[-0.08,+0.02]
T64   >22   0.6-1.2  hi    |  +0.050[+0.04,+0.05](+0.052) |  -0.018[-0.08,+0.05] |  -0.002[-0.03,+0.03] |  +0.018[-0.03,+0.07] |  -0.082[-0.13,-0.03]
T64   >22   0.6-1.2  all   |  +0.049[+0.04,+0.05](+0.052) |  -0.006[-0.07,+0.06] |  -0.002[-0.03,+0.02] |  +0.024[-0.02,+0.07] |  -0.076[-0.12,-0.03]
T64B  8-15  0.15-0.3 lo    |  +0.104[+0.09,+0.12](+0.109) |  +0.187[-0.08,+0.35] |  -0.019[-0.06,+0.02] |  +0.235[-0.05,+0.43] |  +0.155[-0.12,+0.34]
